respondent id,agency code,loan type,property type,loan purpose,owner occ,loan amount,pre approval,action taken,msa/md,state,county,census tract,applicant ethnicity,coapp ethnicity,applicant race 1,coapp race,sex,coapp sex,income,type of purchaser,denial reason 1,denial reason 2,denial reason 3,rate of spread,hoepa status,lien status
7197000003,7,1,1,3,1,121,3,2,NA,27,131,0707.00,2,2,5,5,2,1,135,0,,,,NA,2,1
7197000003,7,1,1,3,1,244,3,1,33460,27,003,0501.08,2,5,5,8,1,5,95,3,,,,NA,2,1
7197000003,7,3,1,3,1,60,3,1,NA,27,061,4810.00,2,5,5,8,1,5,25,2,,,,NA,2,1
7197000003,7,1,1,3,1,210,3,1,NA,27,161,7903.00,2,2,5,5,1,2,101,1,,,,NA,2,1
7197000003,7,2,1,3,1,211,3,1,33460,27,163,0709.11,2,5,5,8,1,5,51,2,,,,NA,2,1
7197000003,7,1,1,3,1,191,3,1,33460,27,037,0607.13,2,5,5,8,2,5,89,3,,,,NA,2,1
7197000003,7,1,1,1,1,153,2,3,33460,27,037,0603.01,2,5,5,8,1,5,42,0,1,,,NA,2,1
7197000003,7,2,1,1,1,44,2,1,NA,27,069,0901.00,3,5,6,8,3,5,38,2,,,,NA,2,1
7197000003,7,2,1,3,1,83,3,1,NA,27,093,5605.00,3,5,6,8,3,5,46,2,,,,NA,2,1
7197000003,7,1,1,3,1,107,3,1,33460,27,163,0706.01,2,5,5,8,1,5,22,3,,,,NA,2,1
7197000003,7,3,1,1,1,160,2,1,33460,27,003,0507.07,2,5,5,8,1,5,71,2,,,,NA,2,1
7197000003,7,1,1,3,1,139,3,1,33460,27,053,0254.01,3,5,6,8,3,5,65,1,,,,NA,2,1
7197000003,7,1,1,1,1,147,2,1,33460,27,171,1002.04,3,3,6,6,3,3,47,3,,,,NA,2,1
7197000003,7,1,1,3,1,188,3,3,33460,27,079,9504.00,2,2,5,5,1,2,83,0,7,,,NA,2,1
7197000003,7,2,1,3,1,130,3,1,33460,27,003,0507.04,3,5,6,8,3,5,59,2,,,,NA,2,1
7197000003,7,3,1,1,1,384,2,1,33460,27,123,0415.00,2,5,5,8,1,5,104,2,,,,NA,2,1
7197000003,7,1,1,1,1,165,2,1,NA,27,115,9507.00,2,5,5,8,1,5,58,3,,,,NA,2,1
7197000003,7,3,1,3,1,119,3,1,33460,27,143,1702.00,2,5,5,8,1,5,56,2,,,,NA,2,1
7197000003,7,1,1,3,1,66,3,1,41060,27,145,0110.00,2,2,5,5,2,1,29,1,,,,NA,2,1
7197000003,7,1,1,3,1,284,3,1,24220,27,119,0204.00,1,5,6,8,1,5,109,1,,,,NA,2,1
7197000003,7,1,1,3,1,250,3,1,NA,27,111,9614.00,2,5,5,8,1,5,127,1,,,,NA,2,1
7197000003,7,2,1,3,1,78,3,1,NA,27,169,6707.00,2,5,5,8,1,5,30,2,,,,NA,2,1
7197000003,7,2,1,3,1,49,3,3,24220,27,119,0208.00,3,5,6,8,3,5,96,0,9,,,NA,2,1
7197000003,7,1,1,3,1,256,3,1,24220,27,119,0205.00,3,3,6,6,3,3,91,3,,,,NA,2,1
7197000003,7,2,1,1,1,205,2,1,NA,27,147,9603.00,2,5,5,8,1,5,90,2,,,,NA,2,1
7197000003,7,1,1,1,1,417,2,1,33460,27,037,0610.04,2,2,5,5,2,1,164,1,,,,NA,2,1
7197000003,7,2,1,3,1,130,3,1,33460,27,037,0601.01,2,5,5,8,2,5,42,2,,,,NA,2,1
